label,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v,left_heel_x,left_heel_y,left_heel_z,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_v,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_v,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_v,nose_x,nose_y,nose_z,nose_v
0,0.492956102,0.236465722,0.103061952,0.999921322,0.355686903,0.239597797,0.162011117,0.999949574,0.565779865,0.370209664,-0.067851149,0.993667662,0.281868726,0.34815222,0.016206365,0.997184575,0.567995608,0.223339558,-0.258870691,0.994474828,0.274527073,0.208173811,-0.212703884,0.997224331,0.467782766,0.494422942,-0.014689216,0.999889255,0.387143105,0.491787612,0.014552499,0.999910712,0.593391657,0.53086257,-0.379671305,0.997200608,0.250867307,0.517535865,-0.299782872,0.998346329,0.557732463,0.730651081,-0.081624478,0.978157461,0.309306264,0.704570055,-0.029585492,0.997703612,0.542610705,0.758050859,-0.053907774,0.979269207,0.330209464,0.737617791,-0.003604376,0.993282437,0.602394402,0.794482112,-0.161009982,0.9668957,0.250791699,0.759674549,-0.099093765,0.991803527,0.422591865,0.112995021,-0.113957152,0.999999762
0,0.557264388,0.363000065,-0.192205012,0.998049259,0.433152169,0.368206918,-0.185695916,0.999814212,0.644508481,0.370624214,-0.268230349,0.999173105,0.346405029,0.380583286,-0.24180676,0.999459803,0.668990493,0.245166391,-0.388181239,0.996271372,0.325652421,0.261358023,-0.3663598,0.998252809,0.532194853,0.615763485,-0.008902011,0.996989191,0.45507139,0.612989485,0.008725189,0.999484539,0.652304411,0.643513501,-0.267757535,0.986224294,0.349293351,0.648553014,-0.281245381,0.996558011,0.652587235,0.861811996,-0.048149128,0.982735455,0.320653647,0.850944519,-0.061712675,0.996018469,0.639260411,0.899294794,-0.033065494,0.960891426,0.330702484,0.891200542,-0.045092724,0.98733753,0.70108974,0.918025017,-0.154646844,0.948760808,0.269300729,0.908049345,-0.163220644,0.981387138,0.491864145,0.270141959,-0.458625495,0.999993801
0,0.43642959,0.275371432,0.069422327,0.999973416,0.31654045,0.267558992,0.031401888,0.999948025,0.463794291,0.451696277,0.110442936,0.962986708,0.289179593,0.440199614,0.076563738,0.933089793,0.537197471,0.539338171,0.005424143,0.954176664,0.229453385,0.534871459,-0.036268007,0.941659808,0.404500544,0.576855481,0.01243446,0.999762595,0.329450935,0.570478976,-0.012319801,0.99987793,0.541148245,0.596199393,-0.262984067,0.994453728,0.232374042,0.604822814,-0.401779145,0.998086691,0.523949862,0.869716048,-0.122846499,0.992408276,0.222730964,0.877751589,-0.232585594,0.998508632,0.507673919,0.90023613,-0.114802741,0.977680564,0.230901659,0.906720281,-0.21982193,0.987772644,0.543542027,0.977222025,-0.255750835,0.982218981,0.20670779,0.963952303,-0.369790971,0.9934901,0.389879048,0.127950191,-0.202240765,0.999999285
0,0.495042682,0.370431483,0.052166041,0.98533982,0.443035722,0.441228896,-0.038342569,0.997153401,0.504720509,0.454034805,0.108995207,0.021946033,0.442051739,0.527844787,0.001627842,0.848633349,0.522134542,0.527400374,0.113258377,0.013403931,0.435057789,0.607328713,0.041412141,0.59832257,0.540084243,0.568016171,0.00020635,0.99547261,0.495702982,0.581748307,-0.000134229,0.996089697,0.623873413,0.592117131,-0.101701789,0.998517811,0.41688025,0.593210459,-0.13853842,0.99128437,0.634503007,0.754669249,-0.041372716,0.996216595,0.422677785,0.751723289,-0.064987473,0.993214369,0.627315044,0.784833848,-0.038906518,0.98314786,0.430851191,0.775810838,-0.060515646,0.979980111,0.664776146,0.78941828,-0.103285052,0.985872447,0.392978609,0.781313539,-0.117528751,0.978549659,0.482658386,0.316600978,-0.045769371,0.999108613
0,0.565475464,0.333061039,-0.039844695,0.965752244,0.410532266,0.329604238,-0.042820696,0.995638192,0.714861035,0.339583516,-0.177135855,0.973840237,0.256055892,0.35193646,-0.110757053,0.991722047,0.729928255,0.206955314,-0.294171035,0.914274037,0.252839506,0.226282954,-0.196761057,0.98410517,0.537845492,0.577492833,-0.012831651,0.995004237,0.446301162,0.586536825,0.012761883,0.999029636,0.719715357,0.640899718,-0.235702917,0.983783424,0.271993071,0.652747154,-0.258470207,0.988478959,0.715779305,0.828746557,0.071842253,0.980933726,0.281870425,0.827728093,0.091914065,0.992762625,0.687218487,0.859726071,0.096677721,0.977152288,0.304925591,0.857959986,0.121099837,0.983289838,0.807847679,0.861207962,-0.035976235,0.938742101,0.196012199,0.866062701,-0.004115642,0.959461808,0.493766308,0.222120658,-0.223330468,0.999615669
0,0.535169899,0.503870249,-0.437904716,0.999979854,0.467271358,0.501950562,-0.469501615,0.999992847,0.505748034,0.60658586,-0.488421291,0.904218554,0.49282077,0.602924883,-0.546940863,0.993477166,0.47065556,0.665710747,-0.569695473,0.710404575,0.525394976,0.66465348,-0.608809173,0.97432816,0.520156384,0.525779009,0.001493688,0.999990106,0.476320386,0.528037429,-0.001552472,0.999978423,0.589832664,0.522167325,-0.263208598,0.920199037,0.403067827,0.516643167,-0.235627264,0.940214813,0.60338819,0.643839717,-0.043393716,0.954876721,0.392304659,0.643303394,0.000555803,0.961786449,0.600513279,0.655742884,-0.02379727,0.88023299,0.395754635,0.651864171,0.02080805,0.733907342,0.611874878,0.684601307,-0.129663378,0.964247942,0.384913623,0.685589671,-0.078534856,0.912822723,0.500960529,0.496130407,-0.726647615,0.999999523
0,0.653718591,0.318388999,-0.300731361,0.999613464,0.471388936,0.317775518,-0.307730258,0.998507559,0.768590033,0.340472102,-0.346504539,0.999448478,0.345577478,0.33391434,-0.327934027,0.996931791,0.892082334,0.312545896,-0.533420503,0.99795866,0.217970699,0.315777481,-0.528305948,0.991062045,0.605383337,0.574578345,-0.00935756,0.997388899,0.488198757,0.569554269,0.009243381,0.998658419,0.762742341,0.65091145,-0.43062827,0.993030846,0.334960908,0.659097791,-0.372992486,0.997290671,0.739185214,0.854548156,-0.104522273,0.988425374,0.337596774,0.854968905,-0.057531122,0.997407734,0.717746973,0.878314912,-0.084839463,0.976611674,0.355127364,0.885017514,-0.037432279,0.988270044,0.801549375,0.902651906,-0.290590644,0.971122324,0.260598391,0.897400856,-0.232955188,0.986721158,0.56456387,0.229193881,-0.734827399,0.999994993
0,0.560853004,0.384635329,-0.152494773,0.999456227,0.394305974,0.40275979,-0.185027048,0.997090459,0.680737019,0.404415965,-0.063147008,0.99640584,0.267735064,0.399398267,-0.096769966,0.982618034,0.796617389,0.393489122,-0.185925454,0.997195482,0.141068041,0.394850552,-0.199844807,0.979101658,0.536539614,0.64051801,-0.012299009,0.996679187,0.419912338,0.62911582,0.01233381,0.99847728,0.718854904,0.680436075,-0.360469818,0.995459259,0.224224016,0.66707772,-0.311986446,0.998569965,0.694016039,0.85534054,0.035307452,0.989335477,0.224591732,0.854155123,0.036155205,0.997652233,0.670838296,0.874065995,0.063394509,0.977630913,0.251081824,0.879302621,0.061826788,0.991873324,0.756799221,0.912627459,-0.113446824,0.966664255,0.15648827,0.920860171,-0.108639807,0.987223983,0.476374656,0.317119718,-0.605299711,0.999989867
0,0.763001442,0.380249023,-0.023492953,0.999864221,0.667335689,0.374973774,-0.071612909,0.999899983,0.838025868,0.372173488,-0.074041553,0.998820007,0.594318092,0.376035839,-0.180513069,0.999789894,0.854314744,0.289457828,-0.199779421,0.997236967,0.596758902,0.285896808,-0.330245584,0.999089241,0.742699564,0.575866759,0.013599745,0.999882102,0.680980146,0.574537277,-0.013706929,0.999890208,0.816492975,0.680226088,-0.18986991,0.998167038,0.617471874,0.681863844,-0.218766958,0.999247789,0.801752508,0.77460134,0.1425329,0.991884232,0.616856039,0.775075793,0.100652196,0.995946586,0.790289819,0.786879361,0.171137393,0.957641602,0.622685909,0.781038523,0.128851622,0.96234715,0.822149277,0.821419954,0.066312656,0.98130393,0.612482846,0.817522824,0.024494598,0.986440837,0.725695491,0.310952306,-0.261487544,0.999997377
0,0.495042682,0.370431483,0.052166041,0.98533982,0.443035722,0.441228896,-0.038342569,0.997153401,0.504720509,0.454034805,0.108995207,0.021946033,0.442051739,0.527844787,0.001627842,0.848633349,0.522134542,0.527400374,0.113258377,0.013403931,0.435057789,0.607328713,0.041412141,0.59832257,0.540084243,0.568016171,0.00020635,0.99547261,0.495702982,0.581748307,-0.000134229,0.996089697,0.623873413,0.592117131,-0.101701789,0.998517811,0.41688025,0.593210459,-0.13853842,0.99128437,0.634503007,0.754669249,-0.041372716,0.996216595,0.422677785,0.751723289,-0.064987473,0.993214369,0.627315044,0.784833848,-0.038906518,0.98314786,0.430851191,0.775810838,-0.060515646,0.979980111,0.664776146,0.78941828,-0.103285052,0.985872447,0.392978609,0.781313539,-0.117528751,0.978549659,0.482658386,0.316600978,-0.045769371,0.999108613
